Produit scalaire	[latex]$ \left\langle x, y \right\rangle = x^T y = \sum x_i y_i $ [/latex]
Norme	[latex]$ \left\| x \right\| = \sqrt{\left\langle x,x \right\rangle } $ [/latex]
Identité remarquable	[latex]$ \left\| a + b \right\|^2 = \left\| a \right\|^2 + \left\| b \right\|^2 + 2 \left\langle a,b \right\rangle  $ [/latex]
Inégalité de Cauchy	[latex]$ \left| \left\langle x,y \right\rangle  \right| \leq \left\| x \right\| \left\| y \right\|   $ [/latex]
k-lipschitzienne	[latex]$ \left| f(x) - f(y) \right| \leq k \left| x - y \right|  $ Bouger dans l'espace d'arriver fait bouger $ k $ fois plus dans l'espace de départ.[/latex]
L-Smooth	[latex]= gradient Lipschitz \\ $ \forall \theta , \theta ^\prime, \left\| \nabla F(\theta ) - \nabla F(\theta ^\prime ) \right\| \leq  L \left\| \theta - \theta ^\prime  \right\| $ [/latex]
Bilinéarité du produit scalaire	[latex]\begin{itemize} \item $ k \left\langle x, y \right\rangle = \left\langle kx, y \right\rangle = \left\langle x ,ky \right\rangle  $  \item $ \left\langle z, x + y \right\rangle = \left\langle z,x \right\rangle + \left\langle x,y \right\rangle  $ \end{itemize}[/latex]
Co-coercivity	[latex]$ \frac{1}{L} \left\| \nabla F(\theta ) - \nabla F(\theta ^\prime ) \right\| ^2 _2 \leq  \langle  \nabla F(\theta ) - \nabla F(\theta ^\prime ), \theta  - \theta ^\prime \rangle$[/latex] 
Inégalité triangulaire	[latex]$ \left\| x + y \right\| \leq \left\| x \right\| + \left\| y \right\|  $ [/latex]
GD	[latex]$ \theta _{t+1} = \theta _t - \gamma \nabla F(\theta _t) $ [/latex]
Polyak-Ruppert averaging	[latex]$ \bar{\theta }_T = \frac{1}{T} \sum_{t=1}^{T}\theta _t $ [/latex]
Sub gradient	[latex]$ f(x) - f(x_0) \geq \left\langle v, (x - x_0) \right\rangle  $ [/latex]
Dérivé norme	[latex]$ \frac{d}{dt} \left\| f(t) \right\| = \frac{\left\langle f(t) , f^\prime (t) \right\rangle }{\left\| f(t) \right\| } $ [/latex]
Dérivé norme au carré	[latex]$ \frac{d}{dt} \left\| f(t) \right\| ^2 = 2 \left\langle f(t) , f^\prime (t) \right\rangle $[/latex]


Convexity : under chords	[latex]$ F(\eta \theta + (1 - \eta ) \theta ^\prime ) \leq  \eta F(\theta ) + (1 - \eta ) F(\theta ^\prime ), \forall \theta , \theta ^\prime , \forall \eta  \in [0, 1] $ [/latex]
Convexity + diff (tangent lie below)	[latex]$ F(\theta ^\prime ) \geq F(\theta ) + \langle  \nabla F(\theta ) , \theta ^\prime - \theta  \rangle ,  \forall \theta , \theta ^\prime $ [/latex]
Convexity : increasing slopes 	[latex]$ \langle \nabla F(\theta ) - \nabla F(\theta ^\prime ), \theta - \theta ^\prime \rangle \geq 0 $ ($ \nabla F $ is said to be a monotone operator )[/latex]
Convexity + [latex]$ \mathcal{C}^2 $[/latex] : curves upwards	[latex]$ \forall \theta , Hess_F (\theta ) \succeq 0 $ (SDP)[/latex]
[latex]$\mu$-convexity[/latex] : **well** under chords	[latex]$ F(\eta \theta + (1 - \eta ) \theta ^\prime ) \leq  \eta F(\theta ) + (1 - \eta ) F(\theta ^\prime ) - \frac{\eta (1 - \eta ) \mu }{2} \left\| \theta - \theta ^\prime  \right\| ^2 _2 , \forall \theta , \theta ^\prime , \forall \eta  \in [0, 1] $ [/latex]
[latex]$\mu$-convexity[/latex] + diff (tangent lie **well** below)	[latex]$ F(\theta ^\prime ) \geq F(\theta ) + < \nabla F(\theta ) , \theta ^\prime - \theta  > + \frac{\mu }{2} \left\| \theta - \theta ^\prime  \right\|^2_2, \forall \theta , \theta ^\prime  $ [/latex]
[latex]$\mu$-convexity[/latex] : **well** increasing slopes	[latex]$ \langle \nabla F(\theta ) - \nabla F(\theta ^\prime ), \theta - \theta ^\prime \rangle \geq 0 + \mu \left\| \theta - \theta ^\prime  \right\| _2 ^2  $[/latex]
[latex]$\mu$-convexity[/latex] + $ \mathcal{C}^2 $ : curves upwards	[latex]$ \forall \theta , Hess_F (\theta ) \succeq \mu Id $ (SDP)[/latex]